Brand,Model Name,Date,Mileage,Warranty,Image URL
PEUGEOT,208 Electrique 50 kWh 136ch,2020,37 395 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/7/268306/0/peugeot-208-electrique-50-kwh-136ch-occasion-2020-annemasse.jpg
MERCEDES,EQE 350,2024,0 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/92/268288/0/mercedes-eqe-350-occasion-2024-villeneuve-loubet.jpg
VOLKSWAGEN,e-up! 83 Electrique,2022,6 496 km,Garantie 29 mois,N/A
RENAULT,Zoe R110 Achat Intégral,2021,12 633 km,Garantie 12 mois,N/A
RENAULT,Zoe R135,2019,59 712 km,Garantie 12 mois,N/A
BMW i,i4 M50 544 ch BVA,2022,47 262 km,N/A,N/A
FORD,Mustang Mach-E Extended Range 99 kWh 351 ch AWD,2022,62 322 km,Garantie 12 mois,N/A
RENAULT,Zoe R90,2018,88 031 km,Garantie 6 mois,N/A
RENAULT,Scenic E-Tech electrique 220 ch grande autonomie,2024,7 500 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/104/268166/0/renault-scenic-e-tech-electrique-220-ch-grande-autonomie-occasion-2024-laxou.jpg
SMART,Smart #1 272 ch,2023,11 382 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/18/268132/0/smart-smart--1-272-ch-occasion-2023-ahuy.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2022,12 000 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/7/268046/0/peugeot-208-electrique-50-kwh-136ch-occasion-2022-annemasse.jpg
RENAULT,Zoe,2016,59 147 km,Garantie 6 mois,https://feassets.bymycar.fr/vo/104/268028/0/renault-zoe-occasion-2016-laxou.jpg
OPEL,Corsa Electrique 136 ch & Batterie 50 kw/h,2022,38 550 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/41/268006/0/opel-corsa-electrique-136-ch---batterie-50-kwh-occasion-2022-fontaine.jpg
VOLKSWAGEN,ID.3 204 ch Pro Performance,2023,5 645 km,Garantie 47 mois,https://feassets.bymycar.fr/vo/18/267989/0/volkswagen-id3-204-ch-pro-performance-occasion-2023-ahuy.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2020,40 875 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/7/267979/0/peugeot-208-electrique-50-kwh-136ch-occasion-2020-annemasse.jpg
BMW,i7 eDrive50 455 ch,2024,4 000 km,Garantie 23 mois,https://feassets.bymycar.fr/vo/123/267911/0/bmw-i7-edrive50-455-ch-occasion-2024-paris.jpg
RENAULT,Twingo III Achat Intégral,2021,20 849 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/88/267890/0/renault-twingo-iii-achat-integral-occasion-2021-fontaine.jpg
SMART,Fortwo Coupé 82 ch,2022,17 247 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/75/267888/0/smart-fortwo-coupe-82-ch-occasion-2022-villeneuve-loubet.jpg
PEUGEOT,208 Electrique 51 kWh 156ch,2024,10 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/42/267871/0/peugeot-208-electrique-51-kwh-156ch-occasion-2024-sallanches.jpg
BMW,i7 eDrive50 455 ch,2024,4 000 km,Garantie 23 mois,https://feassets.bymycar.fr/vo/32/267865/0/bmw-i7-edrive50-455-ch-occasion-2024-paris.jpg
RENAULT,Zoe R110 Achat Intégral,2021,30 293 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/1/267835/0/renault-zoe-r110-achat-integral-occasion-2021-bar-le-duc.jpg
AUDI,Q4 e-tron Sportback 45 285 ch 82 kWh,2024,6 500 km,Garantie 36 Mois,https://feassets.bymycar.fr/vo/100/267758/0/audi-q4-e-tron-sportback-45-285-ch-82-kwh-occasion-2024-fleury-les-aubrais.jpg
AUDI,Q4 e-tron Sportback 45 285 ch 82 kWh,2024,5 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/65/267741/0/audi-q4-e-tron-sportback-45-285-ch-82-kwh-occasion-2024-saint-priest-en-jarez.jpg
VOLKSWAGEN,ID.3 150 ch Pure Performance,2021,46 900 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/62/267731/0/volkswagen-id3-150-ch-pure-performance-occasion-2021-lyon.jpg
VOLKSWAGEN,ID.4 286 ch Pro,2024,1 500 km,Garantie 23 mois,https://feassets.bymycar.fr/vo/17/267695/0/volkswagen-id4-286-ch-pro-occasion-2024-avignon.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2023,20 214 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/118/267676/0/peugeot-208-electrique-50-kwh-136ch-occasion-2023-la-garde.jpg
AUDI,Q4 e-tron Sportback 45 285 ch 82 kWh,2024,8 754 km,Garantie 36 Mois,N/A
PEUGEOT,308 SW Electrique 54 kWh 156ch,2024,100 km,Garantie 21 mois,N/A
BMW,i5 Touring M60 xDrive 601 ch,2024,4 000 km,Garantie 23 mois,N/A
MINI,Cooper Electric SE 218 ch,2024,4 000 km,Garantie 23 mois,N/A
MINI,Countryman 204 ch BVA E,2024,8 000 km,Garantie 23 mois,N/A
VOLKSWAGEN UTILITAIRES,ID. Buzz 204 ch Pro,2024,5 000 km,Garantie 22 mois,N/A
NISSAN,Leaf Electrique 40kWh,2021,26 003 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/73/267497/0/nissan-leaf-electrique-40kwh-occasion-2021-rillieux-la-pape.jpg
VOLKSWAGEN,ID.4 204 ch,2024,9 000 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/62/267493/0/volkswagen-id4-204-ch-occasion-2024-lyon.jpg
RENAULT,Zoe R110 Achat Intégral,2020,74 147 km,Garantie 6 mois,https://feassets.bymycar.fr/vo/46/267491/0/renault-zoe-r110-achat-integral-occasion-2020-pont-a-mousson.jpg
RENAULT,Twingo III Achat Intégral,2021,15 370 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/104/267427/0/renault-twingo-iii-achat-integral-occasion-2021-laxou.jpg
SKODA,Enyaq iV 50,2024,7 000 km,Garantie 45 mois,https://feassets.bymycar.fr/vo/89/267421/0/skoda-enyaq-iv-50-occasion-2024-bourgoin-jallieu.jpg
AUDI,Q4 e-tron Sportback 45 285 ch 82 kWh,2024,8 000 km,Garantie 35 mois,https://feassets.bymycar.fr/vo/21/267402/0/audi-q4-e-tron-sportback-45-285-ch-82-kwh-occasion-2024-chenove.jpg
AUDI,Q4 e-tron Sportback 45 285 ch 82 kWh,2024,8 000 km,Garantie 32 mois,https://feassets.bymycar.fr/vo/12/267321/0/audi-q4-e-tron-sportback-45-285-ch-82-kwh-occasion-2024-avignon.jpg
SMART,Forfour 82 ch,2021,42 198 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/75/267244/0/smart-forfour-82-ch-occasion-2021-villeneuve-loubet.jpg
FIAT,500 e 118 ch,2021,47 802 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/17/267229/0/fiat-500-e-118-ch-occasion-2021-avignon.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2023,9 950 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/122/267217/0/volkswagen-id3-204-ch-pro-occasion-2023-six-fours-les-plages.jpg
PEUGEOT,E-PARTNER FOURGON M 800 KG 136 CH BATTERIE 50 KWH,2023,6 000 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/6/267153/0/peugeot-e-partner-fourgon-m-800-kg-136-ch-batterie-50-kwh-occasion-2023-cluses.jpg
RENAULT,Megane E-Tech EV60 220 ch optimum charge,2023,6 000 km,Garantie 14 mois,https://feassets.bymycar.fr/vo/1/267149/0/renault-megane-e-tech-ev60-220-ch-optimum-charge-occasion-2023-bar-le-duc.jpg
RENAULT,Zoe,Life Gamme 2017,92 552 km,Garantie 6 mois,https://feassets.bymycar.fr/vo/44/267129/0/renault-zoe-occasion-2017-luneville.jpg
PEUGEOT,2008 Electrique 54 kWh 156 ch,2023,100 km,Garantie 14 mois,https://feassets.bymycar.fr/vo/43/267127/0/peugeot-2008-electrique-54-kwh-156-ch-occasion-2023-anthy-sur-leman.jpg
PEUGEOT,2008 Electrique 54 kWh 156 ch,2023,3 000 km,Garantie 14 mois,https://feassets.bymycar.fr/vo/7/267102/0/peugeot-2008-electrique-54-kwh-156-ch-occasion-2023-annemasse.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2023,100 km,Garantie 14 mois,https://feassets.bymycar.fr/vo/7/267101/0/peugeot-208-electrique-50-kwh-136ch-occasion-2023-annemasse.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2023,100 km,Garantie 14 mois,https://feassets.bymycar.fr/vo/7/267100/0/peugeot-208-electrique-50-kwh-136ch-occasion-2023-annemasse.jpg
RENAULT,Scenic E-Tech electrique 220 ch grande autonomie,2024,6 000 km,Garantie 22 mois,https://feassets.bymycar.fr/vo/1/267096/0/renault-scenic-e-tech-electrique-220-ch-grande-autonomie-occasion-2024-bar-le-duc.jpg
RENAULT,Twingo III Achat Intégral,2021,23 349 km,Garantie 12 mois,N/A
RENAULT,Zoe R110,2021,29 072 km,Garantie 6 mois,N/A
RENAULT,Zoe R110 Achat Intégral,2021,30 258 km,Garantie 12 mois,N/A
RENAULT,Scenic E-Tech electrique 220 ch grande autonomie,2024,5 000 km,Garantie 22 mois,N/A
RENAULT,Scenic E-Tech electrique 220 ch grande autonomie,2024,5 000 km,Garantie 22 mois,N/A
MINI,Countryman 204 ch BVA E,2024,10 km,N/A,N/A
MINI,Countryman 204 ch BVA E,2024,10 km,N/A,https://feassets.bymycar.fr/vo/36/266907/0/mini-countryman-204-ch-bva-e-occasion-2024-chennevieres-sur-marne.jpg
SKODA,Enyaq iV 80,2023,8 000 km,Garantie 15 mois,https://feassets.bymycar.fr/vo/72/266839/0/skoda-enyaq-iv-80-occasion-2023-lyon.jpg
PEUGEOT,2008 Electrique 156 ch,2023,2 347 km,Garantie 14 mois,https://feassets.bymycar.fr/vo/42/266808/0/peugeot-2008-electrique-156-ch-occasion-2023-sallanches.jpg
RENAULT,Megane E-Tech 220 ch autonomie confort AC22,2024,6 500 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/104/266787/0/renault-megane-e-tech-220-ch-autonomie-confort-ac22-occasion-2024-laxou.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2024,6 000 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/102/266781/0/volkswagen-id3-204-ch-pro-occasion-2024-orleans.jpg
OPEL,Corsa Electrique 156 ch & Batterie 51 kWh,2024,7 000 km,Garantie 22 mois,https://feassets.bymycar.fr/vo/2/266726/0/opel-corsa-electrique-156-ch---batterie-51-kwh-occasion-2024-annecy.jpg
RENAULT,Twingo III Achat Intégral,2021,37 240 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/104/266721/0/renault-twingo-iii-achat-integral-occasion-2021-laxou.jpg
RENAULT,Zoe R110 Achat Intégral,2021,28 197 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/104/266720/0/renault-zoe-r110-achat-integral-occasion-2021-laxou.jpg
BMW i,i4 M50 544 ch BVA,2022,2 125 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/123/266703/0/bmw-i-i4-m50-544-ch-bva-occasion-2022-paris.jpg
SMART,Smart #1 272 ch,2023,2 000 km,Garantie 15 mois,https://feassets.bymycar.fr/vo/116/266702/0/smart-smart--1-272-ch-occasion-2023-la-garde.jpg
BMW i,i4 M50 544 ch BVA,2022,2 125 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/32/266640/0/bmw-i-i4-m50-544-ch-bva-occasion-2022-paris.jpg
VOLKSWAGEN,ID.4 286 ch Pro,2024,5 000 km,Garantie 22 mois,https://feassets.bymycar.fr/vo/17/266626/0/volkswagen-id4-286-ch-pro-occasion-2024-avignon.jpg
FORD,Mustang Mach-E Standard Range 76 kWh 269 ch AWD,2023,16 364 km,N/A,https://feassets.bymycar.fr/vo/14/266617/0/ford-mustang-mach-e-standard-range-76-kwh-269-ch-awd-occasion-2023-bourgoin-jailleu.jpg
RENAULT,Megane E-Tech 220 ch autonomie confort AC22,2024,5 200 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/13/266614/0/renault-megane-e-tech-220-ch-autonomie-confort-ac22-occasion-2024-epinal.jpg
VOLKSWAGEN,ID.4 174 ch,2023,7 546 km,Garantie 41 mois,https://feassets.bymycar.fr/vo/122/266605/0/volkswagen-id4-174-ch-occasion-2023-six-fours-les-plages.jpg
SMART,Forfour 82 ch,2022,21 275 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/75/266542/0/smart-forfour-82-ch-occasion-2022-villeneuve-loubet.jpg
FIAT,500 3+1 e 118 ch,2024,1 000 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/40/266523/0/fiat-500-3+1-e-118-ch-occasion-2024-fontaine.jpg
BMW i,i3 120 Ah 170 ch BVA,2020,60 732 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/20/266509/0/bmw-i-i3-120-ah-170-ch-bva-occasion-2020-carpentras.jpg
SMART,Forfour 82 ch,2022,35 222 km,Garantie 12 mois,N/A
ABARTH,500C e 155 ch,2024,0 km,Garantie 24 MOIS,N/A
MINI,Hatch 3 Portes Cooper SE 184 ch,2022,6 991 km,Garantie 24 MOIS,N/A
PEUGEOT,2008 Electrique 136 ch,2022,6 900 km,Garantie 12 mois,N/A
AUDI,Q4 e-tron Sportback 35 170 ch 55 kW,2022,15 990 km,Garantie 6 mois,N/A
FORD,E-TRANSIT FGN 390 L2H2 184 CH BATTERIE 75 KWH,2024,10 km,Garantie 24 MOIS,N/A
FORD,E-TRANSIT FGN 350 L2H2 184 CH BATTERIE 75 KWH,2024,10 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/124/266409/0/ford-e-transit-fgn-350-l2h2-184-ch-batterie-75-kwh-occasion-2024-rillieux-la-pape.jpg
RENAULT,Megane E-Tech EV60 220 ch super charge,2022,13 980 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/44/266376/0/renault-megane-e-tech-ev60-220-ch-super-charge-occasion-2022-luneville.jpg
VOLKSWAGEN,ID.3 204 ch Pro Performance,2023,3 500 km,Garantie 14 mois,https://feassets.bymycar.fr/vo/17/266362/0/volkswagen-id3-204-ch-pro-performance-occasion-2023-avignon.jpg
VOLKSWAGEN,ID.4 149 ch Pure,2024,500 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/17/266360/0/volkswagen-id4-149-ch-pure-occasion-2024-avignon.jpg
VOLKSWAGEN,ID.4 149 ch Pure,2024,500 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/17/266359/0/volkswagen-id4-149-ch-pure-occasion-2024-avignon.jpg
VOLKSWAGEN,ID.4 286 ch Pro,2024,8 000 km,Garantie 46 mois,https://feassets.bymycar.fr/vo/91/266315/0/volkswagen-id4-286-ch-pro-occasion-2024-saint-romain-en-gal.jpg
VOLKSWAGEN,ID.4 149 ch Pure,2023,100 km,Garantie 15 mois,https://feassets.bymycar.fr/vo/70/266307/0/volkswagen-id4-149-ch-pure-occasion-2023-villefranche-sur-saone.jpg
FIAT,500 e 118 ch,Icône '2021',18 495 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/266295/0/fiat-500-e-118-ch-occasion-2022-fontaine.jpg
PEUGEOT,2008 Electrique 136 ch,2022,23 879 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/7/266275/0/peugeot-2008-electrique-136-ch-occasion-2022-annemasse.jpg
RENAULT,Twingo III Achat Intégral,2021,23 867 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/104/266258/0/renault-twingo-iii-achat-integral-occasion-2021-laxou.jpg
DACIA,Spring Achat Intégral,2022,14 900 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/88/266235/0/dacia-spring-achat-integral-occasion-2022-fontaine.jpg
SEAT,Mii Electric 83 ch,2021,54 760 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/41/266197/0/seat-mii-electric-83-ch-occasion-2021-fontaine.jpg
HYUNDAI,Ioniq 6 77 kWh 229 ch,2023,17 623 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/17/266166/0/hyundai-ioniq-6-77-kwh-229-ch-occasion-2023-avignon.jpg
VOLKSWAGEN,ID.3 204 ch Pro,2024,15 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/16/266164/0/volkswagen-id3-204-ch-pro-occasion-2024-ladoix-serrigny.jpg
VOLKSWAGEN,ID.4 204 ch,2021,45 900 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/62/266080/0/volkswagen-id4-204-ch-occasion-2021-lyon.jpg
OPEL,Astra Electrique 156 ch & Batterie 54 kWh,2024,100 km,N/A,https://feassets.bymycar.fr/vo/41/266065/0/opel-astra-electrique-156-ch---batterie-54-kwh-occasion-2024-fontaine.jpg
BMW,iX2 xDrive30 313ch BVA,2024,8 000 km,Garantie 21 mois,https://feassets.bymycar.fr/vo/123/266039/0/bmw-ix2-xdrive30-313ch-bva-occasion-2024-paris.jpg
SKODA,Enyaq Coupé iV 80,2023,114 km,Garantie 48 mois,https://feassets.bymycar.fr/vo/120/266038/0/skoda-enyaq-coupe-iv-80-occasion-2023-ollioules.jpg
DACIA,Spring Achat Intégral,2021,45 725 km,Garantie 12 mois,N/A
RENAULT,Megane E-Tech EV40 130ch standard charge,2023,13 784 km,Garantie 12 mois,N/A
BMW,iX2 xDrive30 313ch BVA,2024,8 000 km,Garantie 21 mois,N/A
RENAULT,Zoe,Life Gamme 2017,64 750 km,Garantie 6 mois,N/A
DACIA,Spring Achat Intégral,2021,9 313 km,Garantie 12 mois,N/A
RENAULT,Zoe R110,2018,52 738 km,Garantie 12 mois,N/A
VOLKSWAGEN,ID.4 286 ch Pro,2024,0 km,Garantie 24 MOIS,https://feassets.bymycar.fr/vo/63/265773/0/volkswagen-id4-286-ch-pro-occasion-2024-le-coteau.jpg
RENAULT,Twizy,2021,21 863 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/13/265757/0/renault-twizy-occasion-2021-epinal.jpg
PEUGEOT,208 Electrique 51 kWh 156ch,2024,6 000 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/6/265752/0/peugeot-208-electrique-51-kwh-156ch-occasion-2024-cluses.jpg
FIAT,500 3+1 e 118 ch,2022,21 500 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/40/265701/0/fiat-500-3+1-e-118-ch-occasion-2022-fontaine.jpg
BMW i,iX M60 619ch,2023,4 000 km,Garantie 16 mois,https://feassets.bymycar.fr/vo/35/265698/0/bmw-i-ix-m60-619ch-occasion-2023-saint-thibault-des-vignes.jpg
VOLKSWAGEN,ID.4 299 ch,2024,100 km,Garantie 22 mois,https://feassets.bymycar.fr/vo/17/265673/0/volkswagen-id4-299-ch-occasion-2024-avignon.jpg
PEUGEOT,2008 Electrique 156 ch,2023,100 km,Garantie 14 mois,https://feassets.bymycar.fr/vo/11/265670/0/peugeot-2008-electrique-156-ch-occasion-2023-ornex.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2023,50 km,Garantie 14 mois,https://feassets.bymycar.fr/vo/7/265667/0/peugeot-208-electrique-50-kwh-136ch-occasion-2023-annemasse.jpg
PEUGEOT,208 Electrique 50 kWh 136ch,2022,8 100 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/91/265650/0/peugeot-208-electrique-50-kwh-136ch-occasion-2022-saint-romain-en-gal.jpg
VOLKSWAGEN,ID.4 286 ch Pro,2024,7 000 km,Garantie 46 mois,https://feassets.bymycar.fr/vo/89/265555/0/volkswagen-id4-286-ch-pro-occasion-2024-bourgoin-jallieu.jpg
SMART,Forfour 82 ch,2023,5 000 km,Garantie 12 mois,https://feassets.bymycar.fr/vo/78/265552/0/smart-forfour-82-ch-occasion-2023-le-cannet.jpg
